,title,complex,address,status,links,lines,prices,developer
0,"Советский р-н, ул. Пенязькова, ул. Денисенко",https://www.moyareklama.by//residential_complex/1000019/,"Советский р-н, ул. Пенязькова, ул. Денисенко","
                            Срок сдачи: 4 квартал 2018 г.                    ","['https://www.moyareklama.by//residential_complex/1000019/', 'https://www.moyareklama.by//residential_complex/1000019/', 'https://www.moyareklama.by//residential_complex/1000019/', 'https://www.moyareklama.by//search/Гомель/d640156df844d6dc7972bdae3d01fdcb', 'https://www.moyareklama.by//search/Гомель/a5cd1cb24d9deefa003160e2deeaaaab', 'https://www.moyareklama.by//search/Гомель/fd3069a2bdbb5d20ec76e423181f6be9', 'https://www.moyareklama.by//search/Гомель/64f25c2d847a40cb6a42d7eac4c4d88c']","['Студии от 36,9 м2 (1)', 'от 66 000 р.', '1-ком. от 36,8 м2 (4)', 'от 64 000 р.', '2-ком. от 53 м2 (3)', 'от 92 547 р.', '3-ком. от 72,2 м2 (2)', 'от 119 885 р.']","['от 66 000 р.', 'от 64 000 р.', 'от 92 547 р.', 'от 119 885 р.']",Застройщик Гомельский ДСК
1,"Железнодорожный р-н, ул. Докутович",https://www.moyareklama.by//residential_complex/1000049/,"Железнодорожный р-н, ул. Докутович","
                            Срок сдачи: 4 квартал 2019 г.                    ","['https://www.moyareklama.by//residential_complex/1000049/', 'https://www.moyareklama.by//residential_complex/1000049/', 'https://www.moyareklama.by//residential_complex/1000049/', 'https://www.moyareklama.by//search/Гомель/3a34e8268a867c0c875f528ee414195d', 'https://www.moyareklama.by//search/Гомель/a5e93d8c4257d7fed9cac34d61b6227c', 'https://www.moyareklama.by//search/Гомель/8e452a4d45ed34b4bcee5543329e49e4']","['1-ком. от 41,5 м2 (1)', 'от 74 814 р.', '2-ком. от 53,2 м2 (2)', '3-ком. от 69,9 м2 (2)', 'от 126 084 р.']","['от 74 814 р.', 'от 126 084 р.']",Застройщик УКС г. Гомеля
2,"Центральный р-н, ул. Мазурова, Бородина, Головацкого",https://www.moyareklama.by//residential_complex/1000027/,"Центральный р-н, ул. Мазурова, Бородина, Головацкого","
                            Срок сдачи: 4 квартал 2019 г.                    ","['https://www.moyareklama.by//residential_complex/1000027/', 'https://www.moyareklama.by//residential_complex/1000027/', 'https://www.moyareklama.by//residential_complex/1000027/', 'https://www.moyareklama.by//search/Гомель/cd92e2ec5ce8db176bb2529bedaf8266', 'https://www.moyareklama.by//search/Гомель/1f000b5d96263700af42afe56929137d']","['1-ком. от 34 м2 (1)', 'от 74 600 р.', '2-ком. от 50 м2 (2)', 'от 93 000 р.']","['от 74 600 р.', 'от 93 000 р.']","Застройщик УКС Гомельской области, ЖилСтройПроект ООО"
3,"Центральный р-н, ул. Волотовская, 11",https://www.moyareklama.by//residential_complex/1000033/,"Центральный р-н, ул. Волотовская, 11","
                            Сдан
                    ","['https://www.moyareklama.by//residential_complex/1000033/', 'https://www.moyareklama.by//residential_complex/1000033/', 'https://www.moyareklama.by//residential_complex/1000033/', 'https://www.moyareklama.by//search/Гомель/614ec19e76b6dee42e5dfc85cafb34fe', 'https://www.moyareklama.by//search/Гомель/2ef1b9e17ab8c482bee9ae0bb2e43cb3']","['3-ком. от 100 м2 (2)', 'от 193 630 р.', '6-ком. от 156 м2 (1)', 'от 372 723 р.']","['от 193 630 р.', 'от 372 723 р.']","Застройщик ООО ""Электропром"""
4,"Советский р-н, ",https://www.moyareklama.by//residential_complex/1000031/,"Советский р-н, ","
                            Сдан
                    ","['https://www.moyareklama.by//residential_complex/1000031/', 'https://www.moyareklama.by//residential_complex/1000031/', 'https://www.moyareklama.by//residential_complex/1000031/', 'https://www.moyareklama.by//search/Гомель/fb62a05101fe37b911392b5baa3bfc5d', 'https://www.moyareklama.by//search/Гомель/4cf5c107fdc941b9ada074add92cf6c8', 'https://www.moyareklama.by//search/Гомель/3f91fc2df3dfd7a8c6b3c8e873516926']","['1-ком. от 38,6 м2 (1)', 'от 73 000 р.', '2-ком. от 57,4 м2 (1)', 'от 99 600 р.', '3-ком. от 70,5 м2 (1)', 'от 112 000 р.']","['от 73 000 р.', 'от 99 600 р.', 'от 112 000 р.']",Застройщик Гомельский ДСК
5,"Центральный р-н, ул. Чечерская",https://www.moyareklama.by//residential_complex/1000024/,"Центральный р-н, ул. Чечерская","
                            Срок сдачи: 4 квартал 2018 г.                    ","['https://www.moyareklama.by//residential_complex/1000024/', 'https://www.moyareklama.by//residential_complex/1000024/', 'https://www.moyareklama.by//residential_complex/1000024/', 'https://www.moyareklama.by//search/Гомель/904fffc834bb37521c6bc3f2dc0cb0cf']","['3-ком. от 68,4 м2 (2)', 'от 145 000 р.']",['от 145 000 р.'],Застройщик УКС города Гомеля
6,"Центральный р-н, ул. Мазурова, 59В",https://www.moyareklama.by//residential_complex/1000028/,"Центральный р-н, ул. Мазурова, 59В","
                            Срок сдачи: 4 квартал 2021 г.                    ","['https://www.moyareklama.by//residential_complex/1000028/', 'https://www.moyareklama.by//residential_complex/1000028/', 'https://www.moyareklama.by//residential_complex/1000028/', 'https://www.moyareklama.by//search/Гомель/0aef40e38c43d94ca813ab9ea6deade4', 'https://www.moyareklama.by//search/Гомель/458c5556e3348b60730fa74f08e05737']","['1-ком. от 44,7 м2 (1)', 'от 88 000 р.', '2-ком. от 62 м2 (1)', 'от 131 000 р.']","['от 88 000 р.', 'от 131 000 р.']","Застройщик ОАО ""Гомельский ДСК"""
7,"Гомельский р-н, ул. Севруковская",https://www.moyareklama.by//residential_complex/1000029/,"Гомельский р-н, ул. Севруковская","
                            Сдан
                    ","['https://www.moyareklama.by//residential_complex/1000029/', 'https://www.moyareklama.by//residential_complex/1000029/', 'https://www.moyareklama.by//residential_complex/1000029/', 'https://www.moyareklama.by//search/Гомель/793212dec921bb93672813e049a96584']","['2-ком. от 60 м2 (1)', 'от 95 000 р.']",['от 95 000 р.'],"Застройщик ОАО ""Строительный трест №14"""
8,"Новобелицкий р-н, в квартале улиц Ст. Разина - Войкова",https://www.moyareklama.by//residential_complex/1000015/,"Новобелицкий р-н, в квартале улиц Ст. Разина - Войкова","
                            Срок сдачи: 3 квартал 2018 г.                    ","['https://www.moyareklama.by//residential_complex/1000015/', 'https://www.moyareklama.by//residential_complex/1000015/', 'https://www.moyareklama.by//residential_complex/1000015/', 'https://www.moyareklama.by//search/Гомель/86ac7b1f4c142d1e536cae617eac576a']","['3-ком. от 88,5 м2 (1)', 'от 130 000 р.']",['от 130 000 р.'],Застройщик УКС города Гомеля
9,"Новобелицкий р-н, ул. Дубравная, Оськина, Рябиновая",https://www.moyareklama.by//residential_complex/1000022/,"Новобелицкий р-н, ул. Дубравная, Оськина, Рябиновая","
                            Срок сдачи: 4 квартал 2019 г.                    ","['https://www.moyareklama.by//residential_complex/1000022/', 'https://www.moyareklama.by//residential_complex/1000022/', 'https://www.moyareklama.by//residential_complex/1000022/', 'https://www.moyareklama.by//search/Гомель/98cf4b95df92a545a411a6d4a7035ab8']","['2-ком. от 54,3 м2 (1)', 'от 90 300 р.']",['от 90 300 р.'],Застройщик Гомельский ДСК
10,"Центральный р-н, ул. Кленковская",https://www.moyareklama.by//residential_complex/1000039/,"Центральный р-н, ул. Кленковская","
                            Срок сдачи: 3 квартал 2022 г.                    ","['https://www.moyareklama.by//residential_complex/1000039/', 'https://www.moyareklama.by//residential_complex/1000039/', 'https://www.moyareklama.by//residential_complex/1000039/', 'https://www.moyareklama.by//search/Гомель/0805ef910af1551703f09c704a903465']",['4-ком. от 120 м2 (1)'],[],"Застройщик ООО ""УКС-Дронго"""
11,"Советский р-н, позиция №1 по генплану",https://www.moyareklama.by//residential_complex/1000057/,"Советский р-н, позиция №1 по генплану","
                            Срок сдачи: 4 квартал 2022 г.                    ","['https://www.moyareklama.by//residential_complex/1000057/', 'https://www.moyareklama.by//residential_complex/1000057/', 'https://www.moyareklama.by//residential_complex/1000057/', 'https://www.moyareklama.by//search/Гомель/26bb9f2a06f8184b2e4ee57ec406fa53']","['3-ком. от 85,3 м2 (1)', 'от 133 000 р.']",['от 133 000 р.'],Застройщик УКС Гомельского района
12,"Центральный р-н, ул. Бородина, 6а",https://www.moyareklama.by//residential_complex/1000001/,"Центральный р-н, ул. Бородина, 6а","
                            Сдан
                    ","['https://www.moyareklama.by//residential_complex/1000001/', 'https://www.moyareklama.by//residential_complex/1000001/', 'https://www.moyareklama.by//residential_complex/1000001/', 'https://www.moyareklama.by//search/Гомель/4e68b5ba742bb003667038351a8891e8']","['Студии от 76,2 м2 (1)', 'от 159 000 р.']",['от 159 000 р.'],Застройщик ООО Проектное бюро Жилстройпроект
13,"Центральный р-н, ул. Сожская, 5",https://www.moyareklama.by//residential_complex/1000014/,"Центральный р-н, ул. Сожская, 5","
                            Сдан
                    ","['https://www.moyareklama.by//residential_complex/1000014/', 'https://www.moyareklama.by//residential_complex/1000014/', 'https://www.moyareklama.by//residential_complex/1000014/', 'https://www.moyareklama.by//search/Гомель/cdec303f9c8d52a2cd8146cf61b5198a']","['2-ком. от 62,4 м2 (1)', 'от 128 000 р.']",['от 128 000 р.'],Застройщик Агростройпром
14,"Центральный р-н, ул. Советская, 144",https://www.moyareklama.by//residential_complex/1000013/,"Центральный р-н, ул. Советская, 144","
                            Срок сдачи: 4 квартал 2023 г.                    ","['https://www.moyareklama.by//residential_complex/1000013/', 'https://www.moyareklama.by//residential_complex/1000013/', 'https://www.moyareklama.by//residential_complex/1000013/', 'https://www.moyareklama.by//search/Гомель/d1024218f69eecf3085ed57c9c47a096']","['2-ком. от 70,5 м2 (1)', 'от 150 000 р.']",['от 150 000 р.'],"Застройщик ЧУП ""Чижик-Инвест"""
