,number,id,link,title,rooms,sq_live,height,tall,address,square,type_house,floor,water,bathroom,balcony,repair,photo,images
0,1,210860270,https://www.moyareklama.by/single/ad/210860270,"3-ком. квартира 75,2 м², 18/18 эт.",3.0,752.0,18.0,18.0,"Советский р-н, пр-т Речицкий, д. 78","Общая площадь:75,2 м²
Жилая площадь:45,9 м²
Кухня:8,4 м²",Тип дома:монолитный,Этаж / Этажей в доме:18/18,"
Водоснабжение:горячая вода            ","
Санузел:раздельный            ","
Балкон: балкон                ","Ремонт: косметический
                ",https://media1.moyareklama.by/i/p/770x576/202210/20221025132840_f1e0c58f36c8758664f7a0265c24be8e.jpg,"['https://media1.moyareklama.by/i/p/148x111/202210/20221025132840_f1e0c58f36c8758664f7a0265c24be8e.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221025132840_4e56809e85881023c124cee8f4e02b3d.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221025132840_df7c3ec475e3e28565a3ae855080016e.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221025132840_ef1bb4e46e1bed12c23d394a5d50c9c0.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221025132840_8ae44ece3323cbb2a5dfc965e70a0aaf.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221025132840_24e56a5408d3d5cf4e8a061d9d78b0da.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221025132840_d2a47ea62ed765ca01e79d7ce14caa7e.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221025132840_01f813bac3d8975b7a1824b30d6330bb.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221025132840_75b1d9a230b0626f8e827ee116f17c8f.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221025132840_5cdbd3451052a18271f0f4b44d0c342d.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221025132840_6f4514f6b2c561df660161cf54aeb163.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221025132840_c33890f487b914bca511259978b6bbdd.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221025132839_067afb8e43bc3738d30ede18fed63e98.jpg']"
1,2,210859333,https://www.moyareklama.by/single/ad/210859333,"1-ком. квартира 30,9 м², 9/10 эт.",1.0,309.0,9.0,10.0,"Центральный р-н, ул. Чечерская, д. 21","Общая площадь:30,9 м²
Жилая площадь:17 м²
Кухня:6,9 м²",Тип дома:панельный,Этаж / Этажей в доме:9/10,,,"
Балкон: балкон                ",,https://media1.moyareklama.by/i/p/770x576/202210/20221021171103_9ed675b94ea057d97d9f2722b23c1f47.jpg,"['https://media1.moyareklama.by/i/p/148x111/202210/20221021171103_9ed675b94ea057d97d9f2722b23c1f47.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221021171103_6d458eeefc31b41db826450abe6c3367.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221021171103_51ff6409b59fc7dadd048411584d6ba5.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221021171103_92a4721e74890bcc730b55c986ce5a04.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221021171103_584da6914200e515620af92178559fae.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221021171103_8a82d7dd903de2d1f945e64c6be2eaca.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221021171103_c945dc7285695e0bd7092d0d45a314a1.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221021171103_7749299faf90f3e4d39f767724dd87cf.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221021171103_eeac12e443dcb1cf614929e29f46d0f4.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221021171103_01721c28a40a22fb4926c9c3d54752e0.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221021171103_237b508e4b4e6a06e4ba27d8f57c49ee.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221021171103_1013e01d8994307811a7edf46ff3e621.jpg']"
2,3,210860168,https://www.moyareklama.by/single/ad/210860168,"1-ком. квартира 35,4 м², 5/5 эт.",1.0,354.0,5.0,5.0,"Советский р-н, мкр Энергетиков, д. 29","Общая площадь:35,4 м²
Жилая площадь:18,1 м²
Кухня:8,1 м²",Тип дома:панельный,Этаж / Этажей в доме:5/5,"
Водоснабжение:горячая вода            ","
Санузел:раздельный            ","
Балкон: балкон                ",,https://media1.moyareklama.by/i/p/770x576/202210/20221024181029_a60646168018b05063d36450ad96d777.jpg,"['https://media1.moyareklama.by/i/p/148x111/202210/20221024181029_a60646168018b05063d36450ad96d777.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221024181029_07f5dfb6e9243c09ae01a2571b7fb1de.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221024181029_f39675fe36d973f33f3f777583e6d18a.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221024181029_f25cc142a8d06d936e68f2fa9f253f80.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221024181029_dd5c5304c514579c5c19ad1e4cf30395.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221024181029_d9ac3108f5e61a6e1c1229ef27281a6d.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221024181029_f139b87df35d2edf96158c5f0ab2c5af.jpg']"
3,4,210862153,https://www.moyareklama.by/single/ad/210862153,"1-ком. квартира 30,9 м², 9/10 эт.",1.0,309.0,9.0,10.0,"Центральный р-н, ул. Чечерская, д. 27","Общая площадь:30,9 м²
Жилая площадь:17 м²
Кухня:6,8 м²",Тип дома:панельный,Этаж / Этажей в доме:9/10,"
Водоснабжение:горячая вода            ","
Санузел:совмещенный            ","
Балкон: лоджия                ",,http://img.youtube.com/vi/7PG10zk3jRg/hqdefault.jpg,
4,5,210861389,https://www.moyareklama.by/single/ad/210861389,"2-ком. квартира 49,7 м², 4/5 эт.",2.0,497.0,4.0,5.0,"Центральный р-н, пр-т Ленина, д. 34","Общая площадь:49,7 м²
Жилая площадь:30,3 м²
Кухня:7,1 м²",Тип дома:кирпичный,Этаж / Этажей в доме:4/5,"
Водоснабжение:горячая вода            ","
Санузел:совмещенный            ","
Балкон: балкон                ","Ремонт: косметический
                ",https://media1.moyareklama.by/i/p/770x576/202210/20221025161440_5a368846e6692a916d7cd63b8a336d27.jpg,"['https://media1.moyareklama.by/i/p/148x111/202210/20221025161440_5a368846e6692a916d7cd63b8a336d27.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221025161440_f3d2d13bcb200d67c4e7055e5999111a.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221025161440_584fd1fb35998efc1673baaec37c0641.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221025161440_91c1249e4dd02c004fd23a8ce3a95f81.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221025161440_deb505274fb62f3e51c3c814df979808.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221025161440_f5b960b70a246b699a35a65fffa7fcd2.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221025161440_cf411c14f7244337a41babb37fb27f6f.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221025161440_9484343f16d763aae7c8afdc0d6f74b1.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221025161441_c0f29ed65917656b22e95a95c2307e10.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221025161441_eb7d0ff422e838427801d5782c56d83f.jpg']"
5,6,210862289,https://www.moyareklama.by/single/ad/210862289,"3-ком. квартира 112 м², 3/6 эт.",,,,,"Железнодорожный р-н, ул. Ленина, д. 51 (Дом Комунны)","Общая площадь:112 м²
Жилая площадь:61 м²
Кухня:14 м²",Тип дома:кирпичный,Этаж / Этажей в доме:3/6,"
Водоснабжение:горячая вода            ","
Санузел:2 санузла            ","
Балкон: балкон                ","Ремонт: дизайнерский
                ",https://media1.moyareklama.by/i/p/770x576/202210/20221027065125_476e4d58457da48830fb3f473b1d2be7.jpg,"['https://media1.moyareklama.by/i/p/148x111/202210/20221027065125_476e4d58457da48830fb3f473b1d2be7.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221027065125_d13ebc91d6bcc7a7d4c6e19c8fd4e47c.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221027065126_1df105893bfd72877d5d71b8a5a2ba6f.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221102100941_3d3dc1e6ffe09e04e9e03e81f23f51ed.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221027065124_b7a2710d1c6739f7557d341de8562c69.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221027065125_4403bb313679319f5a491d4582c59848.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221027065125_09719f489dc8c16a8bbb88a4fcbc7fe5.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221027065125_064c61400e59411d1ecd0b96f2b358cf.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221027065126_9c2b7d492edcab7cdbedfc3b694be624.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221027065126_62c43662cf06bc34dfadd4a56bdd2e90.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221027065126_6fc63bd7f3103014c62fe1dafcb38a97.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221027065125_fe1bc3a56bb0e82245e03847c93d56f2.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221027065125_138d7b445b99a52d45174b617b6cf8d7.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221027065126_b52d76ed1da060ff70bd4c04e0466afe.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221027065126_1e9115de8cb7a54b4e377434476f6e05.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221027065125_09719f489dc8c16a8bbb88a4fcbc7fe5.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221027065126_7b936286349af6f0a26c3cc6731bb883.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221027065126_1f2d22145c3a5596561aee0439b4b6b4.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221027065126_85d324ee775efcd59d60a145dbeec979.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221027065126_3b1e3fb72e40d3493c0e4eaf11083319.jpg']"
6,7,210863628,https://www.moyareklama.by/single/ad/210863628,"1-ком. квартира 38 м², 1/3 эт.",,,,,"Гомельский р-н, аг. Урицкое, ул. Парковая, д. 7","Общая площадь:38 м²
Жилая площадь:17 м²
Кухня:10 м²",Тип дома:кирпичный,Этаж / Этажей в доме:1/3,"
Водоснабжение:котёл            ","
Санузел:раздельный            ","
Балкон: лоджия                ","Ремонт: косметический
                ",https://media1.moyareklama.by/i/p/770x576/202211/20221104111859_6e480d96aa6d78427b32a02f2844c93f.jpg,"['https://media1.moyareklama.by/i/p/148x111/202211/20221104111859_6e480d96aa6d78427b32a02f2844c93f.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221028141434_ae52fc19660aa44311675c25faf23f13.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221104111858_8a1e4a9e9dcc19367a8dc9490b7244fa.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221104111859_e050e9389328e770b4a7597950ffbe2a.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221104111858_65d3bcbac0b272243a2a9069f5cd16d5.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221104111858_64b61a2351b4dd34c26d0c9276cc79a1.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221104111859_140273b05d364c0f45934c37c79be750.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221104111859_1c4385f0ae9a7be28eb80a865dab97c9.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221104111859_cfeacad6f043ac274b7c7230723e8d97.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221104111900_1c1af7a49e54fb2e958ba7acda9710f1.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221104111900_92f4a4075b66084141531ded2be05c7c.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221104111859_e1d88e2d14d4b1dcb84c31678978229e.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221104111900_add5bdbbc5438d0d9a1382abbbc0267d.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221104111900_944c63acf35d1d2c35e4407d1cf6f4cd.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221104111900_0ad0dd4d87e4c9820766887e51bb47df.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221104111900_8f257a0f3dd435c3d7566b59053a8a02.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221104111900_7f336de8ee9417ac4a4737d308152167.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221104111900_87ab3efc2b45155ba900d426424c5be1.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221104111900_1098e35ab07d9202186d0ee0cb68cfa8.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221104111900_f8913e47c84f8a32735c9cf86aaa49f6.jpg']"
7,8,210861391,https://www.moyareklama.by/single/ad/210861391,"2-ком. квартира 55,9 м², 2/10 эт.",2.0,559.0,2.0,10.0,"Советский р-н, ул. Г.Денисенко, д. 48","Общая площадь:55,9 м²
Жилая площадь:32,1 м²
Кухня:10,7 м²",Тип дома:панельный,Этаж / Этажей в доме:2/10,"
Водоснабжение:горячая вода            ","
Санузел:раздельный            ","
Балкон: лоджия                ",,http://img.youtube.com/vi/Qs2cAaG04ok/hqdefault.jpg,
8,9,210862179,https://www.moyareklama.by/single/ad/210862179,"3-ком. квартира 79,9 м², 2/10 эт.",3.0,799.0,2.0,10.0,"Центральный р-н, ул. Тельмана, д. 3 (Новый универмаг)","Общая площадь:79,9 м²
Жилая площадь:43 м²
Кухня:12,2 м²",Тип дома:блочный,Этаж / Этажей в доме:2/10,"
Водоснабжение:горячая вода            ","
Санузел:совмещенный            ","
Балкон: лоджия                ","Ремонт: дизайнерский
                ",https://media1.moyareklama.by/i/p/770x576/202210/20221026165340_087f70ef1323b1d96f87fe05f033884d.jpg,"['https://media1.moyareklama.by/i/p/148x111/202210/20221026165340_087f70ef1323b1d96f87fe05f033884d.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221026165340_ac231c11a4d2ad68d022510eecc6de08.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221026165340_f518cc9aaafffeb11647aaef394e82e4.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221026165340_7c85075b93c4c5fb36570cafc6758083.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221026165340_9687062c383ff2d092c672b815da6b0b.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221026165340_0fad0afff074933a7d1fc7cf33883bb1.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221026165341_0bb987c86d28091800d836f36380a188.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221026165341_276113298c715a587990896d2bfc5313.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221026165341_a0f81c4e98bdc00a7cf9c67f74998614.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221026165341_90e3040670e326a9729fb0c467583d50.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221026165341_60c614af81604a925dd9727692fa397f.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221026165341_55753cdb3b560e82aa969414efb2a26f.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221026165341_83c2ec4446249cf2c8d0def7f8beb74c.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221026165341_be2bcb531ae1c76936ebe190ce1f46a6.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221026165341_4f86cc88721f38655da0a3efe406eb7f.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221026165341_68703df604ec387e26dbd963cb74ef58.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221026165341_3fe8396cf1d484c8e77976448ba9d7d9.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221026165341_d89dc25ccf598396f742883c7cbdb4f1.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221026165341_dccefaafde6069516a29733f90846133.jpg', 'https://media1.moyareklama.by/i/p/148x111/202210/20221026165341_5bd61f0062fb5bcf6cb57fc77f496a19.jpg']"
