,number,id,link,title,rooms,sq_live,height,tall,address,square,type_house,floor,water,bathroom,balcony,repair,photo,images
9,10,210871652,https://www.moyareklama.by/single/ad/210871652,"3-ком. квартира 78,9 м², 4/5 эт.",3.0,789.0,4.0,5.0,"Центральный р-н, пр-т Ленина, д. 22 (остановка ""Карповича"")","Общая площадь:78,9 м²
Жилая площадь:46,8 м²
Кухня:10,5 м²",Тип дома:кирпичный,Этаж / Этажей в доме:4/5,"
Водоснабжение:горячая вода            ","
Санузел:раздельный            ","
Балкон: два балкона                ","Ремонт: евроремонт
                ",https://media1.moyareklama.by/i/p/770x576/202211/20221111133345_bcaf843b4b13427d16e96b7ce404489d.jpg,"['https://media1.moyareklama.by/i/p/148x111/202211/20221111133345_bcaf843b4b13427d16e96b7ce404489d.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221111133345_842f0974adfbf5280b5b266692844f5d.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221111133345_59b11b5997ae51d101961883da2221a5.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221111133345_1d6b9d0407b95926f8ab348605386f76.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221111133345_fed64e2a63d5d956081050f88a5d5dab.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221111133345_797f0dd40f94adc77ce295291ba1b802.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221111133344_b780b6cc9ee763f252408c00625f302c.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221111133344_c5ca463f693c4370afaf48cbbb017efe.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221111133345_ebdd7ce1d84aeb4306a2ae9957de71f9.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221111133345_fc3b4e245df26748cf3f51e971768753.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221111133344_7242f5ee4c79c58f805d9805e39a2cef.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221111133345_08a410b360b8c0fae9ee09f0fc450c5b.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221111133345_bb70642a8068fd12d40a6f41970ceb76.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221111133345_29474f4a2c6ff4bfe0294308780f68f2.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221111133345_447355c198f0b406ba176d0d27cc6618.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221111133345_c919e35bd8523fe6751d96801b380520.jpg']"
10,11,210866470,https://www.moyareklama.by/single/ad/210866470,"4-ком. квартира 63,3 м², 5/5 эт.",4.0,633.0,5.0,5.0,"Советский р-н, ул. Б.Хмельницкого, д. 64","Общая площадь:63,3 м²
Жилая площадь:46,1 м²
Кухня:6,4 м²",Тип дома:кирпичный,Этаж / Этажей в доме:5/5,"
Водоснабжение:горячая вода            ","
Санузел:совмещенный            ","
Балкон: балкон                ","Ремонт: капитальный
                ",https://media1.moyareklama.by/i/p/770x576/202211/20221102105944_678d4a9d938f63771d3fa4887fee1e85.jpg,"['https://media1.moyareklama.by/i/p/148x111/202211/20221102105944_678d4a9d938f63771d3fa4887fee1e85.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221102105944_21e94e8ae591156014738c21c4884553.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221102105944_f44827757a08c7e0df4d204a4e9c1429.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221102105944_ab0e0f479370ace02b40f7c545c5b3aa.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221102105944_ee8b9730148235d5710ceb8108c797ba.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221102105944_9c12bf285093d7270575ebf1cf158b7d.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221102105944_d5a49b135a76c7e29c11979f4071ab13.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221102105945_dcc274093dd3a0fe54c78a7f9f5c9659.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221102105944_8803cd4f262de893eaa308174c72cd51.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221102105944_fed5e0c8e55eb0e429cdbe001150c1c0.jpg']"
11,12,210874044,https://www.moyareklama.by/single/ad/210874044,"2-ком. квартира 41,4 м², 1/5 эт.",2.0,414.0,1.0,5.0,"Советский р-н, пр-т Речицкий, д. 4б","Общая площадь:41,4 м²
Жилая площадь:26 м²
Кухня:6,1 м²",Тип дома:панельный,Этаж / Этажей в доме:1/5,"
Водоснабжение:горячая вода            ","
Санузел:раздельный            ","
Балкон: балкон                ","Ремонт: косметический
                ",https://media1.moyareklama.by/i/p/770x576/202211/20221115144855_35eee8c8ea537cea1ae8c71b98afa283.jpg,"['https://media1.moyareklama.by/i/p/148x111/202211/20221115144855_35eee8c8ea537cea1ae8c71b98afa283.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221115101316_a6dbdf1729ee061aff81addd81b63f12.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221115101316_9638a2815bce1367c2ca0fb4b8321b28.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221115101316_edd0f21832459bf6d80ae1549a9aa1ba.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221115101316_f031c90b3ea37e1cd6dbb7cdc2852f9d.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221115101316_f007d8ec53c26247b415944111bf907e.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221115101316_c748e43a206d48652ede81a52a4f377b.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221115101316_ba5ab5541c8aa0bbea219c07182cb3ce.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221115101316_7dcef2dafec76f9732853bdd1a0bc9b0.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221115101316_0c0b914eec7bc1f52306a6c54622242c.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221115101316_962b0716d82f07dacc307648c0051b9d.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221115101316_6df4c9cbcf762cc54dc34e6e35eb8399.jpg']"
12,13,210868155,https://www.moyareklama.by/single/ad/210868155,"1-ком. квартира 35,8 м², 10/16 эт.",1.0,358.0,10.0,16.0,"Советский р-н, ул. 60 лет СССР, д. 1 (остановка ""Жукова"")","Общая площадь:35,8 м²
Жилая площадь:18,2 м²
Кухня:8,2 м²",Тип дома:кирпичный,Этаж / Этажей в доме:10/16,"
Водоснабжение:горячая вода            ","
Санузел:совмещенный            ","
Балкон: лоджия                ","Ремонт: косметический
                ",https://media1.moyareklama.by/i/p/770x576/202211/20221109132025_45e8d380432a46bcb23cc0696f487ecd.jpg,"['https://media1.moyareklama.by/i/p/148x111/202211/20221109132025_45e8d380432a46bcb23cc0696f487ecd.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221109132024_c08e882b297beca97dc0ebdeb771fb27.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221109132024_e18951d72355c9ebed2f306720a3f018.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221108123855_2e9b51e71acc20807a2ccfd7cb2fec9d.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221108123855_e79ae860d5e597933b603fa9ffd2a354.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221108123856_36e46352ef07e256480f7abac4d9617f.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221109132024_780b18f952c769cf2d56ded3715b8623.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221109132024_d2d87d58406a03430e471455e436a2b8.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221109132025_0eb3656ca32fd36dfbefb885ec9432b2.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221109132024_f31de3f435a7301a50e7dafafcbec37a.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221109132024_8321ca1159f6aba069cd83a9741de87e.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221109132025_3f6b034b918f45326f3c360f516ac335.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221118115430_9b2abeab6832a46b2ef99dbaf4414a64.jpg']"
13,14,210872412,https://www.moyareklama.by/single/ad/210872412,"1-ком. квартира 30,7 м², 1/5 эт.",1.0,307.0,1.0,5.0,"Железнодорожный р-н, ул. Курчатова, д. 7а","Общая площадь:30,7 м²
Жилая площадь:19 м²
Кухня:5,8 м²",Тип дома:панельный,Этаж / Этажей в доме:1/5,"
Водоснабжение:горячая вода            ","
Санузел:совмещенный            ","
Балкон: нет                ","Ремонт: косметический
                ",https://media1.moyareklama.by/i/p/770x576/202211/20221111153802_ea80b36a644b305558d5a5793e0bc86e.jpg,"['https://media1.moyareklama.by/i/p/148x111/202211/20221111153802_ea80b36a644b305558d5a5793e0bc86e.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221111153803_e33cd1effb8b1ce8eebcb1915b456f80.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221111153803_1b398a15c8bf43fe572e81afe9e4e913.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221111153803_bc5ab6f853322da533a6d2dd49a7499d.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221111153803_312b6a642ebaa31d2129b46a8cdcd831.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221111153803_eb6eab496fb2352a8ddb184e15b5669c.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221111153803_37f4f6ab52622d6273d48effddf3351f.jpg']"
14,15,210881685,https://www.moyareklama.by/single/ad/210881685,"2-ком. квартира 51,5 м², 2/9 эт.",2.0,515.0,2.0,9.0,"Центральный р-н, ул. Мазурова, д. 18","Общая площадь:51,5 м²
Жилая площадь:29 м²
Кухня:9,4 м²",Тип дома:панельный,Этаж / Этажей в доме:2/9,,"
Санузел:раздельный            ","
Балкон: лоджия                ","Ремонт: косметический
                ",http://img.youtube.com/vi/8zLoVdhzB5Y/hqdefault.jpg,
15,16,210880538,https://www.moyareklama.by/single/ad/210880538,"2-ком. квартира 54 м², 3/5 эт.",,,,,"Центральный р-н, ул. Рогачёвская, д. 4","Общая площадь:54 м²
Жилая площадь:31,4 м²
Кухня:9,1 м²",Тип дома:кирпичный,Этаж / Этажей в доме:3/5,,"
Санузел:раздельный            ","
Балкон: балкон                ",,https://media1.moyareklama.by/i/p/770x576/202211/20221124123845_c23e8b0f5755843f1396a9e36193762c.jpg,"['https://media1.moyareklama.by/i/p/148x111/202211/20221124123845_c23e8b0f5755843f1396a9e36193762c.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221130115013_58d33ef6c14c0561563a905e8283517b.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221130115013_b493c5e57073c042d347dce0ef1b4970.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221130115013_5d0d04905c0787bf6047e7492acd4406.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221130115013_3c56663f4fe6b871f188884c82f97ded.jpg']"
16,17,210880828,https://www.moyareklama.by/single/ad/210880828,"1-ком. квартира 36,9 м², 11/11 эт.",1.0,369.0,11.0,11.0,"Советский р-н, ул. Пенязькова, д. 55Б","Общая площадь:36,9 м²
Жилая площадь:29,6 м²",Тип дома:панельный,Этаж / Этажей в доме:11/11,"
Водоснабжение:горячая вода            ","
Санузел:совмещенный            ","
Балкон: балкон                ","Ремонт: черновая отделка
                ",https://media1.moyareklama.by/i/p/770x576/202211/20221129193554_00e4a2b1d0b2c14b06fdc782da68b78a.jpg,"['https://media1.moyareklama.by/i/p/148x111/202211/20221129193554_00e4a2b1d0b2c14b06fdc782da68b78a.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221129193552_e77766a65663c92747ab43f79ab02b25.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221129193555_3ba5947293e3d796a4db05e910db69b5.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221129193552_68b9a955bb455fe8255647da29ecda77.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221129193553_8bb6e84d0aed7dadd258c0291f809399.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221129193552_0776b2295e26584588c2595243af1e8d.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221129193553_334ce50437e27297cf3f1798b97691da.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221129193555_9e9ef53ba70d392c56ae9c4744f0abab.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221129193555_8b093ec40bbd535befd59f5334ecf730.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221129193554_bc453776ca869f8a1d49da7bd7350057.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221129193554_294ec705969119f122869398e5427d6c.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221129193554_a4fde2d503d14aa270b121b2128e1072.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221129193554_08b6b0324671f41ec571526f7bf0e365.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221129193553_570b86d3286a1de9ddaf51be7aaa5c9c.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221129193554_e0c7fd7d8ea7d4cf7bd17920cf19dae0.jpg']"
17,18,210882875,https://www.moyareklama.by/single/ad/210882875,"3-ком. квартира 65,3 м², 4/9 эт.",3.0,653.0,4.0,9.0,"Новобелицкий р-н, ул. Герцена (Международная)","Общая площадь:65,3 м²
Жилая площадь:62,6 м²
Кухня:7,5 м²",Тип дома:кирпичный,Этаж / Этажей в доме:4/9,"
Водоснабжение:центр. в/снабж.            ","
Санузел:совмещенный            ","
Балкон: балкон                ","Ремонт: евроремонт
                ",https://media1.moyareklama.by/i/p/770x576/202211/20221128214622_a11f0484ada4fb8cc1d483d747bdb766.jpg,"['https://media1.moyareklama.by/i/p/148x111/202211/20221128214622_a11f0484ada4fb8cc1d483d747bdb766.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221128214622_7e9ff0c126728807873a38ecdd54d0dc.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221128214622_7f85fad0aa1c3fe90b64eba4f7766e66.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221128214622_e44726a02a8893580ceddc8901088e1a.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221128214622_2fe8cc0d8b4968403bc35d619de57c53.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221128214622_fe40d7898d87392ea43d1a40f1c80c7f.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221128214622_ad6e523da02d8b70c288385ef2874122.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221128214621_fbfc987fc2251c3152c4985e7d630ba2.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221128214622_1d0bbc6fce58d59976ba47719ad92b4a.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221128214621_c4373f1e73e410e14fb4a0a472372414.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221128214622_fd193496cb787e76fcfd18d10879f9e3.jpg']"
18,19,210885545,https://www.moyareklama.by/single/ad/210885545,"3-ком. квартира 63,6 м², 1/9 эт.",3.0,636.0,1.0,9.0,"Центральный р-н, пр-д Интернациональный, д. 6","Общая площадь:63,6 м²
Жилая площадь:40,3 м²
Кухня:8,4 м²",Тип дома:панельный,Этаж / Этажей в доме:1/9,"
Водоснабжение:горячая вода            ","
Санузел:раздельный            ","
Балкон: 2 лоджии заст.                ","Ремонт: косметический
                ",https://media1.moyareklama.by/i/p/770x576/202212/20221205142523_029d256bb58317967000bdb003752d26.jpg,"['https://media1.moyareklama.by/i/p/148x111/202212/20221205142523_029d256bb58317967000bdb003752d26.jpg', 'https://media1.moyareklama.by/i/p/148x111/202212/20221201172928_d5f958e9ca53f7e4daa69b23934de68b.jpg', 'https://media1.moyareklama.by/i/p/148x111/202212/20221201172928_4f78e9c1359322bf7911af231e59b6e2.jpg', 'https://media1.moyareklama.by/i/p/148x111/202212/20221201172928_3f7669304ffa01f5c5300f3a52d4f935.jpg', 'https://media1.moyareklama.by/i/p/148x111/202212/20221201172928_fdc416b14dd2465597aeb17e1075ad20.jpg', 'https://media1.moyareklama.by/i/p/148x111/202212/20221205142523_30a8968fec8d59fe0f10c520560194fd.jpg', 'https://media1.moyareklama.by/i/p/148x111/202212/20221205142523_ae0a04380bfe1cd182c736c76bef101b.jpg']"
19,20,210878073,https://www.moyareklama.by/single/ad/210878073,"Студия 76,2 м², 18/18 эт.",,,,,"Железнодорожный р-н, ул. Бородина, д. 6а","Общая площадь:76,2 м²
Жилая площадь:73,6 м²",Тип дома:монолитный,Этаж / Этажей в доме:18/18,"
Водоснабжение:горячая вода            ","
Санузел:раздельный            ","
Балкон: балкон                ",,https://media1.moyareklama.by/i/p/770x576/202211/20221121161554_750f3b47317e7c632333255d92491e6d.jpg,"['https://media1.moyareklama.by/i/p/148x111/202211/20221121161554_750f3b47317e7c632333255d92491e6d.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221121161555_606129def4f8684b25784122ea24caf0.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221121161555_deb55b88ede357a4948ba4a20ce7a6f4.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221121161554_615510222a83db87343efef119a3d645.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221121161555_45024f9ddec2ab99f1f2d33b09259bf7.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221121161554_f2bd28f6bc43fa8b84a45f798549fc15.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221121163337_87f895cad73ebdfaf564b7771c29dd30.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221121163337_1ee1c9e223f603dd1604b208e102fa07.jpg', 'https://media1.moyareklama.by/i/p/148x111/202211/20221121161554_92d92f8fc13ba823d35043d51de7b039.jpg']"
